,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
value,01.01,01.02,01.03,01.04,01.05,01.aa,01.bb,02.01,02.02,02.03,02.04,02.05,02.aa,02.bb,02.cc,03.01,03.02,03.03,03.04,03.05,03.06,03.07,03.08,03.09,03.aa,03.bb,03.cc,03.dd,04.01,04.02,04.03,04.04,04.05,04.06,04.07,04.aa,04.bb,04.cc,05.01,05.02,05.03,05.04,05.05,05.06,05.aa,05.bb,05.cc,06.01,06.02,06.03,06.04,06.05,06.06,06.aa,06.bb,07.01,07.02,07.03,07.aa,07.bb,08.01,08.02,08.03,08.04,08.05,08.06,08.07,08.08,08.09,08.10,08.aa,08.bb,09.01,09.02,09.03,09.04,09.05,09.aa,09.bb,09.cc,10.01,10.02,10.03,10.04,10.05,10.06,10.07,10.aa,10.bb,11.01,11.02,11.03,11.04,11.05,11.06,11.07,11.aa,11.bb,11.cc,12.01,12.02,12.03,12.04,12.05,12.06,12.07,12.08,12.aa,12.bb,12.cc,13.01,13.02,13.03,13.aa,13.bb,14.01,14.02,14.03,14.04,14.05,14.06,14.07,14.aa,14.bb,14.cc,15.01,15.02,15.03,15.04,15.05,15.06,15.07,15.08,15.09,15.aa,15.bb,15.cc,16.01,16.02,16.03,16.04,16.05,16.06,16.07,16.08,16.09,16.10,16.aa,16.bb,17.01,17.02,17.03,17.04,17.05,17.06,17.07,17.08,17.09,17.10,17.11,17.12,17.13,17.14,17.15,17.16,17.17,17.18,17.19,Capacity-Building,Finance,Systemicissues,Technology,Trade,nan
count,32,20,18,39,45,22,29,39,14,29,56,12,15,3,8,5,4,7,4,4,2,4,3,24,3,1,5,19,7,3,12,24,10,8,36,12,10,15,17,8,6,12,48,7,21,19,17,18,18,77,25,36,47,38,48,13,21,15,26,18,14,18,31,22,21,18,12,24,38,7,3,5,29,8,11,24,28,17,16,9,8,9,13,5,2,7,2,4,5,10,8,11,24,13,34,8,22,25,8,19,111,17,51,77,62,36,64,37,35,11,89,99,144,18,79,538,705,232,413,385,91,326,530,230,271,46,24,17,15,55,10,16,17,36,22,8,17,13,11,23,7,10,20,26,16,4,19,11,20,23,4,27,7,12,52,35,13,38,11,18,6,9,67,25,99,103,28,20,77,23,34,38,16,177271
