,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
value,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,nan
count,183,219,115,94,116,173,72,182,105,60,112,296,310,1371,176,94,256,19526
