"(row, OceanActionID)",sdg,sdg_count,trg,trg_count,sdg-trg,trg-sdg
"(711, '20968')",['14'],1,['14'],1,[],[]
"(712, '20334')",['04' '05' '14'],3,['14'],1,['04' '05'],[]
"(713, '17558')",['14'],1,['14'],1,[],[]
"(714, '20932')",['14'],1,['14'],1,[],[]
"(715, '18007')",['14'],1,['14'],1,[],[]
"(716, '17562')",['14'],1,['14'],1,[],[]
"(717, '18848')",['14'],1,['14'],1,[],[]
"(718, '19323')",['14' '15'],2,['14' '15'],2,[],[]
"(719, '16038')",['14'],1,['14'],1,[],[]
"(720, '18295')",['14'],1,['14'],1,[],[]
"(721, '16998')",['12' '14'],2,['12' '14'],2,[],[]
"(722, '16354')",['14'],1,['14'],1,[],[]
"(723, '21584')",['14'],1,['14'],1,[],[]
"(724, '20472')",['14'],1,['14'],1,[],[]
"(725, '19624')",['14'],1,['14'],1,[],[]
"(726, '18653')",['14'],1,['14'],1,[],[]
"(727, '17082')",['14'],1,['14'],1,[],[]
"(728, '20452')",['08' '11' '14' '17'],4,['08' '14' '17'],3,['11'],[]
"(729, '17626')",['14'],1,['14'],1,[],[]
"(730, '20299')",['14' '17'],2,['14' '17'],2,[],[]
"(731, '19335')",['14' '17'],2,['14'],1,['17'],[]
"(732, '17968')",['14'],1,['14'],1,[],[]
"(733, '19469')",['02' '12' '14' '16'],4,['02' '12' '14' '16'],4,[],[]
"(734, '19375')",['12' '14'],2,['12' '14'],2,[],[]
"(735, '21028')",['14'],1,['14'],1,[],[]
"(736, '20980')",['14'],1,['14'],1,[],[]
"(737, '20339')",['01' '02' '05' '06' '08' '09' '11' '12' '13' '14' '17'],11,['14'],1,['01' '02' '05' '06' '08' '09' '11' '12' '13' '17'],[]
"(738, '19949')",['01' '02' '03' '05' '06' '08' '12' '13' '14' '15'],10,['14'],1,['01' '02' '03' '05' '06' '08' '12' '13' '15'],[]
"(739, '21192')",['14'],1,['14'],1,[],[]
"(740, '13892')",['14'],1,['14'],1,[],[]
"(741, '16655')",['13' '14' '15'],3,['13' '14' '15'],3,[],[]
"(742, '21096')",['14'],1,['14'],1,[],[]
"(743, '21124')",['14'],1,['14'],1,[],[]
"(744, '17210')",['14'],1,['14'],1,[],[]
"(745, '15167')",['01' '02' '05' '06' '10' '14'],6,['14'],1,['01' '02' '05' '06' '10'],[]
"(746, '20412')",['01' '02' '05' '06' '08' '09' '11' '12' '13' '14' '17'],11,['14'],1,['01' '02' '05' '06' '08' '09' '11' '12' '13' '17'],[]
"(747, '21484')",['14'],1,['14'],1,[],[]
"(748, '18154')",['14'],1,['14'],1,[],[]
"(749, '16667')",['14'],1,['14'],1,[],[]
"(750, '15728')",['14'],1,['14'],1,[],[]
"(751, '20496')",['06' '14' '17'],3,['06' '14' '17'],3,[],[]
"(752, '18166')",['14'],1,['14'],1,[],[]
"(753, '18698')",['14' '15'],2,['14'],1,['15'],[]
"(754, '16478')",['14'],1,['14'],1,[],[]
"(755, '16462')",['14'],1,['14'],1,[],[]
"(756, '20279')",['04' '12' '13' '14' '15'],5,['04' '12' '13' '14' '15'],5,[],[]
"(757, '19724')",['12' '13' '14' '15'],4,['14'],1,['12' '13' '15'],[]
"(758, '20724')",['12' '14'],2,['12' '14'],2,[],[]
"(759, '20484')",['09' '14' '17'],3,['14'],1,['09' '17'],[]
"(760, '21660')",['12' '14' '17'],3,['12' '14' '17'],3,[],[]
"(761, '17170')",['01' '02' '13' '14' '15'],5,['01' '13' '14' '15'],4,['02'],[]
"(762, '17755')",['01' '02' '13' '14'],4,['01' '02' '13' '14'],4,[],[]
"(763, '14807')","['01' '02' '03' '04' '05' '06' '07' '08' '09' '10' '11' '12' '13' '14' '15'
 '16' '17']",17,"['01' '02' '03' '04' '05' '06' '07' '08' '09' '10' '11' '12' '13' '14' '15'
 '16' '17']",17,[],[]
"(764, '19371')",['01' '02' '03' '05' '06' '07' '08' '09' '11' '13' '14' '15'],12,['14' '15'],2,['01' '02' '03' '05' '06' '07' '08' '09' '11' '13'],[]
"(765, '15886')",['01' '06' '09' '11' '12' '13' '14' '15'],8,['01' '06' '09' '11' '12' '13' '14' '15'],8,[],[]
"(766, '17566')",['14'],1,['14'],1,[],[]
"(767, '17002')",['14'],1,['14'],1,[],[]
"(768, '17010')",['14'],1,['14'],1,[],[]
"(769, '21632')",['14'],1,['14'],1,[],[]
"(770, '18340')",['14'],1,['14'],1,[],[]
"(771, '18331')",['14'],1,['14'],1,[],[]
"(772, '20049')",['12' '14'],2,['12' '14'],2,[],[]
"(773, '21316')",['14'],1,['14'],1,[],[]
"(774, '21348')",['14'],1,['14'],1,[],[]
"(775, '20528')",['13' '14' '15' '17'],4,['14' '15' '17'],3,['13'],[]
"(776, '19218')",['14' '15'],2,['14' '15'],2,[],[]
"(777, '20214')",['14'],1,['14'],1,[],[]
"(778, '14885')",['14'],1,['14'],1,[],[]
"(779, '21628')",['14'],1,['14'],1,[],[]
"(780, '14379')",['13' '14'],2,['13' '14'],2,[],[]
"(781, '18723')",['07' '08' '09' '14' '17'],5,['07' '08' '09' '14' '17'],5,[],[]
"(782, '14855')",['14' '17'],2,['14' '17'],2,[],[]
"(783, '15734')",['01' '08' '12' '13' '14'],5,['14'],1,['01' '08' '12' '13'],[]
"(784, '17146')",['14'],1,['14'],1,[],[]
"(785, '19844')",['14'],1,['14'],1,[],[]
"(786, '18355')",['14'],1,['14'],1,[],[]
"(787, '21068')",['14'],1,['14'],1,[],[]
"(788, '19804')",['14'],1,['14'],1,[],[]
"(789, '18280')",['14'],1,['14'],1,[],[]
"(790, '18262')",['14'],1,['14'],1,[],[]
"(791, '18232')",['14'],1,['14'],1,[],[]
"(792, '18091')",['14'],1,['14'],1,[],[]
"(793, '15334')",['01' '02' '08' '12' '13' '14' '17'],7,['14'],1,['01' '02' '08' '12' '13' '17'],[]
"(794, '18304')",['02' '03' '12' '14'],4,['14'],1,['02' '03' '12'],[]
"(795, '19383')",['01' '02' '03' '12' '14'],5,['01' '02' '12' '14'],4,['03'],[]
"(796, '19819')",['01' '14'],2,['01' '14'],2,[],[]
"(797, '19415')",['12' '14'],2,['12' '14'],2,[],[]
"(798, '18613')",['13' '14' '16' '17'],4,['13' '14' '17'],3,['16'],[]
"(799, '18406')",['01' '08' '12' '14'],4,['01' '08' '12' '14'],4,[],[]
"(800, '15509')",['01' '02' '14' '15'],4,['01' '14' '15'],3,['02'],[]
"(801, '15195')",['14'],1,['14'],1,[],[]
"(802, '20432')",['14'],1,['14'],1,[],[]
"(803, '19434')",['13' '14'],2,['13' '14'],2,[],[]
"(804, '15578')",['03' '14'],2,['14'],1,['03'],[]
"(805, '21672')",['09' '14'],2,['09' '14'],2,[],[]
"(806, '21528')",['14'],1,['14'],1,[],[]
"(807, '18283')",['01' '02' '08' '13' '14'],5,['14'],1,['01' '02' '08' '13'],[]
"(808, '18508')",['04' '08' '09' '14'],4,['08' '09' '14'],3,['04'],[]
"(809, '14995')",['01' '03' '04' '06' '09' '12' '13' '14'],8,['01' '09' '12' '13' '14'],5,['03' '04' '06'],[]
"(810, '16754')",['03' '14' '15' '16' '17'],5,['14'],1,['03' '15' '16' '17'],[]
"(811, '15187')",['03' '04' '12' '14'],4,['04' '12' '14'],3,['03'],[]
"(812, '21228')",['14'],1,['14'],1,[],[]
"(813, '20640')",['14'],1,['14'],1,[],[]
"(814, '20788')",['14'],1,['14'],1,[],[]
"(815, '14264')",['06' '13' '14' '15'],4,['06' '13' '14' '15'],4,[],[]
"(816, '19273')",['14'],1,['14'],1,[],[]
"(817, '20668')",['14'],1,['14'],1,[],[]
"(818, '19098')",['12' '14'],2,['12' '14'],2,[],[]
"(819, '20019')",['07' '13' '14'],3,['14'],1,['07' '13'],[]
"(820, '14339')",['04' '14' '16' '17'],4,['04' '14' '16' '17'],4,[],[]
"(821, '18061')",['14' '15'],2,['14' '15'],2,[],[]
"(822, '18055')",['12' '14'],2,['12' '14'],2,[],[]
"(823, '21705')",['14' '16'],2,['14' '16'],2,[],[]
"(824, '21396')",['13' '14'],2,['13' '14'],2,[],[]
"(825, '18040')",['08' '12' '13' '14'],4,['08' '12' '13' '14'],4,[],[]
"(826, '18813')",['14' '17'],2,['14' '17'],2,[],[]
"(827, '16142')",['14'],1,['14'],1,[],[]
"(828, '17550')",['14'],1,['14'],1,[],[]
"(829, '15047')",['14' '15'],2,['14'],1,['15'],[]
"(830, '16454')",['14'],1,['14'],1,[],[]
"(831, '17935')",['14'],1,['14'],1,[],[]
"(832, '14668')",['01' '05' '14'],3,['01' '05' '14'],3,[],[]
"(833, '15710')",['06' '12' '13' '14' '17'],5,['14'],1,['06' '12' '13' '17'],[]
"(834, '19353')",['08' '14'],2,['08' '14'],2,[],[]
"(835, '17038')",['14'],1,['14'],1,[],[]
"(836, '19321')",['01' '04' '05' '08' '12' '14' '17'],7,['01' '04' '05' '08' '12' '14' '17'],7,[],[]
"(837, '15314')",['12' '14'],2,['12' '14'],2,[],[]
"(838, '16316')",['14'],1,['14'],1,[],[]
"(839, '19307')",['14'],1,['14'],1,[],[]
"(840, '17398')",['14'],1,['14'],1,[],[]
"(841, '18803')",['04' '14'],2,['14'],1,['04'],[]
"(842, '17370')",['13' '14' '17'],3,['13' '14' '17'],3,[],[]
"(843, '16514')",['07' '14'],2,['07' '14'],2,[],[]
"(844, '17030')",['14'],1,['14'],1,[],[]
"(845, '15810')",['04' '13' '14' '17'],4,['04' '13' '14' '17'],4,[],[]
"(846, '21332')",['12' '14'],2,['12' '14'],2,[],[]
"(847, '16934')",['13' '14' '17'],3,['13' '14'],2,['17'],[]
"(848, '20768')",['01' '02' '03' '04' '05' '06' '08' '10' '11' '12' '13' '14' '15' '16' '17'],15,['01' '02' '03' '04' '05' '06' '08' '10' '11' '12' '13' '14' '15' '16' '17'],15,[],[]
"(849, '17354')",['13' '14' '17'],3,['13' '14' '17'],3,[],[]
"(850, '16150')",['01' '02' '03' '07' '08' '09' '10' '12' '14' '16' '17'],11,['14'],1,['01' '02' '03' '07' '08' '09' '10' '12' '16' '17'],[]
"(851, '16802')",['14'],1,['14'],1,[],[]
"(852, '15581')",['14'],1,['14'],1,[],[]
"(853, '20748')",['14'],1,['14'],1,[],[]
"(854, '21572')",['14'],1,['14'],1,[],[]
"(855, '17848')",['14'],1,['14'],1,[],[]
"(856, '18313')",['01' '06' '13' '14' '17'],5,['01' '06' '13' '14' '17'],5,[],[]
"(857, '18439')",['01' '02' '03' '06' '08' '10' '12' '13' '14' '15' '16' '17'],12,['14'],1,['01' '02' '03' '06' '08' '10' '12' '13' '15' '16' '17'],[]
"(858, '17190')",['14'],1,['14'],1,[],[]
"(859, '18253')",['14'],1,['14'],1,[],[]
"(860, '20856')",['14'],1,['14'],1,[],[]
"(861, '21717')",['07' '09' '12' '14'],4,['07' '09' '12' '14'],4,[],[]
"(862, '21344')",['14'],1,['14'],1,[],[]
"(863, '18898')",['14'],1,['14'],1,[],[]
"(864, '21052')",['14'],1,['14'],1,[],[]
"(865, '16410')",['01' '02' '12' '14'],4,['14'],1,['01' '02' '12'],[]
