,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
value,01.1 ,01.2 ,01.3 ,01.4 ,01.5 ,01.aa,01.bb,02.1 ,02.2 ,02.3 ,02.4 ,02.5 ,02.aa,02.bb,02.cc,03.01,03.2 ,03.3 ,03.4 ,03.5 ,03.6 ,03.7 ,03.8 ,03.9 ,03.aa,03.bb,03.cc,03.d ,04.1 ,04.2 ,04.3 ,04.4 ,04.5 ,04.6 ,04.7 ,04.aa,04.bb,04.c ,05.1 ,05.2 ,05.3 ,05.4 ,05.5 ,05.6 ,05.aa,05.bb,05.c ,06.1 ,06.2 ,06.3 ,06.4 ,06.5 ,06.6 ,06.aa,06.b ,07.1 ,07.2 ,07.3 ,07.aa,07.bb,08.1 ,08.10 ,08.2 ,08.3 ,08.4 ,08.5 ,08.6 ,08.7 ,08.8 ,08.9 ,08.aa,08.b ,09.1 ,09.2 ,09.3 ,09.4 ,09.5 ,09.aa,09.bb,09.cc,10.1 ,10.2 ,10.3 ,10.4 ,10.5 ,10.6 ,10.7 ,10.aa,10.bb,11.1 ,11.2 ,11.3 ,11.4 ,11.5 ,11.6 ,11.7 ,11.aa,11.bb,11.cc,12.1 ,12.2 ,12.3 ,12.4 ,12.5 ,12.6 ,12.7 ,12.8 ,12.aa,12.bb,12.c ,13.02,13.1 ,13.3 ,13.aa,13.b ,14.1 ,14.2 ,14.3 ,14.4 ,14.5 ,14.6 ,14.7 ,14.aa,14.bb,14.c ,15.1 ,15.2 ,15.3 ,15.4 ,15.5 ,15.6 ,15.7 ,15.8 ,15.9 ,15.aa,15.bb,15.c ,16.1 ,16.10 ,16.2 ,16.3 ,16.4 ,16.5 ,16.6 ,16.7 ,16.8 ,16.9 ,16.aa,16.bb,17.01,17.02,17.03,17.04,17.05,17.06,17.07,17.08,17.09,17.1 ,17.10,17.10 ,17.11,17.11 ,17.12,17.12 ,17.13,17.13 ,17.14,17.14 ,17.15,17.15 ,17.16,17.16 ,17.17 ,17.18 ,17.19 ,17.2 ,17.3 ,17.4 ,17.5 ,17.6 ,17.7 ,17.8 ,17.9 ,nan
count,32,20,18,39,45,22,29,39,14,29,56,12,15,3,8,5,4,7,4,4,2,4,3,24,3,1,5,19,7,3,12,24,10,8,36,12,10,15,17,8,6,12,48,7,21,19,17,18,18,77,25,36,47,38,48,13,21,15,26,18,14,7,18,31,22,21,18,12,24,38,3,5,29,8,11,24,28,17,16,9,8,9,13,5,2,7,2,4,5,10,8,11,24,13,34,8,22,25,8,19,111,17,51,77,62,36,64,37,35,11,99,89,144,18,79,538,705,232,413,385,91,326,530,230,271,46,24,17,15,55,10,16,17,36,22,8,17,13,19,11,23,7,10,20,26,16,4,11,20,23,23,23,23,23,38,38,38,77,23,16,11,16,18,16,6,34,9,34,67,34,25,34,99,103,28,20,4,27,7,12,52,35,13,38,192149
