,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
value,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,nan
count,205,176,85,137,155,307,93,213,142,55,163,520,429,3721,283,180,1087,192149
